년도,시도,위도,경도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
2010,서울특별시 종로구1,37.573246,127.016589,서울특별시 종로구 창신동 동묘앞역 ,3 ,3 ,0 ,2 ,1 ,0 
2010,서울특별시 종로구2,37.5767898,126.9867533,서울특별시 종로구 견지동 안국동사거리 ,3 ,3 ,0 ,2 ,1 ,0 
2010,서울특별시 종로구3,37.5728323,126.9880012,서울특별시 종로구 낙원동 허리우드극장 ,3 ,3 ,0 ,2 ,1 ,0 
2010,서울특별시 종로구4,37.57248,126.98953,서울특별시 종로구 낙원동 종로3가역 ,3 ,3 ,0 ,2 ,1 ,0 
2010,서울특별시 종로구5,37.576556,126.985472,서울특별시 종로구 재동 안국역 ,3 ,3 ,0 ,3 ,0 ,0 
2010,서울특별시 종로구6,37.5711389,127.0095452,서울특별시 종로구 종로6가 동대문로터리 ,3 ,4 ,0 ,3 ,1 ,0 
2010,서울특별시 종로구7,37.5832021,127.0039733,서울특별시 종로구 동숭동 동숭건재 ,3 ,3 ,1 ,2 ,0 ,0 
2010,서울특별시 종로구8,37.5708957,126.9969398,서울특별시 종로구 종로4가 종묘귀금속전문백화점 ,3 ,3 ,2 ,1 ,0 ,0 
2010,서울특별시 종로구9,37.5704682,127.0038437,서울특별시 종로구 종로5가 종로5가 ,4 ,5 ,0 ,3 ,2 ,0 
2010,서울특별시 중구1,37.5615738,127.0194523,서울특별시 중구 신당동 신당역 ,3 ,3 ,0 ,0 ,3 ,0 
2010,서울특별시 중구2,37.566288,126.991051,서울특별시 중구 입정동 청계3가2 ,3 ,5 ,0 ,1 ,3 ,1 
2010,서울특별시 중구3,37.5619799,126.9810805,서울특별시 중구 남대문로3가 한국은행앞 ,3 ,3 ,1 ,1 ,1 ,0 
2010,서울특별시 중구4,37.5670013,127.0007569,서울특별시 중구 을지로5가 을지로5가 ,5 ,5 ,0 ,2 ,3 ,0 
