,년도,시도,시군구,위도,경도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,include,노인보호구역,include2,전통시장
2364,2010,대전광역시,중구,36.3137506,127.4359322,대전광역시 중구 부사동 남대전신협삼거리 ,3,3,0,2,1,0,1,대전광역시 중구 사득로75번길 58,1,대전 중구 대종로316번길 16
2476,2018,대전광역시,중구,36.305611799999994,127.3889924,대전광역시 중구 산성동 산성약국 ,3,3,0,0,3,0,1,대전광역시 중구 보문산로122번안길 44,1,대전 중구 대둔산로408번길28
2484,2019,대전광역시,동구,36.3211386,127.4362375,대전광역시 동구 인동 보문교 ,3,3,1,1,1,0,1,대전광역시 중구 충무로 163-1,1,대전 동구 대전천동로 450
2362,2010,대전광역시,동구,36.326666700000004,127.4338889,대전광역시 동구 원동  주중앙시장앞 ,3,3,1,2,0,0,0,0,1,대전 동구 중앙로 200번길 70
2422,2015,대전광역시,동구,36.32788060000001,127.4332253,대전광역시 동구 원동 원동사거리 ,3,3,0,2,1,0,0,0,1,대전 동구 역전시장길 48
2482,2019,대전광역시,동구,36.3284402,127.4325906,대전광역시 동구 중동 중앙로200 ,4,4,0,3,1,0,0,0,1,대전 동구 대전로 797번길 41
2495,2020,대전광역시,동구,36.3293875,127.43198770000001,대전광역시 동구 원동 중앙시장삼거리 ,5,5,0,4,1,0,0,0,1,대전 동구 대전로 797번길 41
2388,2012,대전광역시,대덕구,36.4488289,127.42727179999999,대전광역시 대덕구 석봉동 굴칼국수 ,3,3,0,3,0,0,0,0,1,대전 대덕구석봉로37번길 46-16
2359,2010,대전광역시,동구,36.3436037,127.454214,대전광역시 동구 자양동 동아공고네거리 ,3,3,0,1,2,0,0,0,0,0
2360,2010,대전광역시,동구,36.351307399999996,127.4375009,대전광역시 동구 용전동 고속터미널삼거리 ,3,8,0,4,4,0,0,0,0,0
2361,2010,대전광역시,동구,36.343191600000004,127.4441528,대전광역시 동구 성남동 세원빌라 ,3,3,1,2,0,0,1,대전광역시 동구 가양남로13번길 57(가양동),0,0
2363,2010,대전광역시,중구,36.33666470000001,127.416752,대전광역시 중구 선화동 증촌사거리 ,3,3,0,2,1,0,1,대전광역시 중구 동서대로1440번길 34,0,0
2365,2010,대전광역시,중구,36.328553799999995,127.40504579999998,대전광역시 중구 오류동 동서로네거리 ,3,3,0,3,0,0,1,대전광역시 중구 계룡로815번길 6,0,0
2366,2010,대전광역시,중구,36.318817100000004,127.40049509999999,대전광역시 중구 대흥동 대흥사거리2 ,3,3,2,1,0,0,0,0,0,0
2367,2010,대전광역시,대덕구,36.4466789,127.43034579999998,대전광역시 대덕구 신탄진동 거성아파트네거리 ,3,3,1,2,0,0,0,0,0,0
2368,2011,대전광역시,동구,36.314966399999996,127.4403531,대전광역시 동구 효동 신바람만두 ,3,3,0,1,2,0,1,대전광역시 중구 보문로19번길 42,1,대전 중구 대전천서로 279
2369,2011,대전광역시,동구,36.32911,127.44348659999999,대전광역시 동구 대동 대영지업사 ,3,3,0,2,1,0,0,0,0,0
2370,2011,대전광역시,동구,36.32116679999999,127.4598463,대전광역시 동구 판암동 판암4차주공아파트 ,4,4,0,2,2,0,0,0,0,0
2371,2011,대전광역시,동구,36.327648700000005,127.4546669,대전광역시 동구 용운동 용문복지관 ,4,4,1,3,0,0,0,0,0,0
2372,2011,대전광역시,동구,36.328082200000004,127.43468190000002,대전광역시 동구 원동 한일자동펌프 ,7,7,0,4,3,0,0,0,1,대전 동구 역전시장길 48
2373,2011,대전광역시,중구,36.298669399999994,127.45437530000001,대전광역시 중구 옥계동 지코바치킨 ,3,3,0,2,1,0,1,대전광역시 중구 모암로7번길 170,0,0
2374,2011,대전광역시,중구,36.329226,127.389794,대전광역시 중구 선화동 목동낚시백화점 ,3,4,1,3,0,0,0,0,0,0
2375,2011,대전광역시,중구,36.318999600000005,127.4147952,대전광역시 중구 문화동 동현카센타 ,4,4,1,2,1,0,0,0,0,0
2376,2011,대전광역시,유성구,36.3548325,127.34336119999999,대전광역시 유성구 봉명동 구두미화센타 ,4,4,0,4,0,0,0,0,0,0
2377,2011,대전광역시,대덕구,36.4223761,127.41979189999999,대전광역시 대덕구 오정동  주대전개인택시제3충전소 ,5,5,1,2,2,0,0,0,0,0
